#Data Set Export - TW.Field Visits@08EE0002,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,
Timestamp (UTC-08:00),Event Timestamp (UTC-08:00),Value (Â°C)
2016-06-23 13:32:40,,13.87
2016-08-10 10:32:18,,12.9
2016-11-03 10:36:19,,2.46
2017-01-31 12:32:42,,-0.08
2017-07-19 13:58:55,,15.06
2017-09-11 12:41:39,,10.99
2017-10-13 13:34:32,,3.31
2018-05-31 12:26:11,,7.66
2018-08-02 12:12:51,,16.73
2018-08-29 12:47:26,,11.63
2018-09-21 12:45:07,,5.73
2019-06-06 13:26:38,,9.04
2019-07-17 14:30:15,,14.58
2019-09-11 12:55:51,,11.38
